Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2019-11-13,California,Los Angeles,6,37,94,Moderate,PM2.5,06-037-1302,15
2019-11-14,California,Los Angeles,6,37,88,Moderate,PM2.5,06-037-1602,17
2019-11-15,California,Los Angeles,6,37,76,Moderate,PM2.5,06-037-1103,15
2019-11-16,California,Los Angeles,6,37,77,Moderate,PM2.5,06-037-4004,15
2019-11-17,California,Los Angeles,6,37,68,Moderate,PM2.5,06-037-4008,17
2019-11-18,California,Los Angeles,6,37,67,Moderate,NO2,06-037-4008,15
2019-11-19,California,Los Angeles,6,37,74,Moderate,NO2,06-037-4008,15
2019-11-20,California,Los Angeles,6,37,41,Good,PM2.5,06-037-4008,17
2019-11-21,California,Los Angeles,6,37,47,Good,PM2.5,06-037-1201,15
2019-11-22,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-4008,15
2019-11-23,California,Los Angeles,6,37,76,Moderate,PM2.5,06-037-4008,17
2019-11-24,California,Los Angeles,6,37,109,Unhealthy for Sensitive Groups,PM2.5,06-037-4008,15
2019-11-25,California,Los Angeles,6,37,103,Unhealthy for Sensitive Groups,PM10,06-037-9033,15
2019-11-26,California,Los Angeles,6,37,106,Unhealthy for Sensitive Groups,PM10,06-037-9033,17
2019-11-27,California,Los Angeles,6,37,65,Moderate,PM2.5,06-037-4008,15
2019-11-28,California,Los Angeles,6,37,52,Moderate,PM2.5,06-037-1201,15
2019-11-29,California,Los Angeles,6,37,66,Moderate,PM2.5,06-037-4008,17
2019-11-30,California,Los Angeles,6,37,76,Moderate,PM2.5,06-037-4008,15
2019-12-01,California,Los Angeles,6,37,60,Moderate,PM2.5,06-037-1201,15
2019-12-02,California,Los Angeles,6,37,67,Moderate,PM2.5,06-037-4008,17
2019-12-03,California,Los Angeles,6,37,88,Moderate,PM2.5,06-037-4008,15
2019-12-04,California,Los Angeles,6,37,57,Moderate,PM2.5,06-037-1201,15
2019-12-05,California,Los Angeles,6,37,56,Moderate,PM2.5,06-037-1201,16
2019-12-06,California,Los Angeles,6,37,64,Moderate,PM2.5,06-037-4008,15
2019-12-07,California,Los Angeles,6,37,52,Moderate,PM2.5,06-037-1201,15
2019-12-08,California,Los Angeles,6,37,52,Moderate,PM2.5,06-037-4008,17
2019-12-09,California,Los Angeles,6,37,125,Unhealthy for Sensitive Groups,PM2.5,06-037-4008,15
2019-12-10,California,Los Angeles,6,37,61,Moderate,PM2.5,06-037-1201,15
2019-12-11,California,Los Angeles,6,37,70,Moderate,PM2.5,06-037-4008,17
2019-12-12,California,Los Angeles,6,37,81,Moderate,PM2.5,06-037-1103,15
2019-12-13,California,Los Angeles,6,37,96,Moderate,PM2.5,06-037-1103,15
2019-12-14,California,Los Angeles,6,37,88,Moderate,PM2.5,06-037-1103,16
2019-12-15,California,Los Angeles,6,37,40,Good,Ozone,06-037-6012,14
