Date,AQI
2016-05-18,34.2
2016-05-19,41.0
2016-05-20,42.8
2016-05-21,39.4
2016-05-22,38.2
2016-05-23,45.0
2016-05-24,40.0
2016-05-25,123.0
2016-05-26,98.0
2016-05-27,67.2
2016-05-28,84.0
2016-05-29,37.0
2016-05-30,30.4
2016-05-31,46.8
2016-06-01,46.4
2016-06-02,38.2
2016-06-03,27.2
2016-06-04,54.8
2016-06-05,30.4
2016-06-06,50.2
2016-06-07,55.6
2016-06-08,22.6
2016-06-09,33.4
2016-06-10,33.0
2016-06-11,80.8
2016-06-12,40.8
2016-06-13,23.2
2016-06-14,34.8
2016-06-15,54.6
2016-06-16,51.0
2016-06-17,45.0
2016-06-18,69.8
2016-06-19,66.6
2016-06-20,48.8
2016-06-21,64.4
2016-06-22,44.4
2016-06-23,54.6
2016-06-24,68.8
2016-06-25,59.2
2016-06-26,57.4
2016-06-27,41.8
2016-06-28,32.4
2016-06-29,46.0
2016-06-30,45.2
2016-07-01,38.2
2016-07-02,30.0
2016-07-03,37.4
2016-07-04,50.2
2016-07-05,37.2
2016-07-06,92.4
2016-07-07,65.2
2016-07-08,48.8
2016-07-09,18.6
2016-07-10,26.0
2016-07-11,32.0
2016-07-12,39.6
2016-07-13,34.4
2016-07-14,49.4
2016-07-15,88.2
2016-07-16,72.4
2016-07-17,85.2
2016-07-18,65.6
2016-07-19,26.8
2016-07-20,39.4
2016-07-21,88.2
2016-07-22,109.0
2016-07-23,45.0
2016-07-24,45.8
2016-07-25,72.2
2016-07-26,38.4
2016-07-27,62.0
2016-07-28,80.6
2016-07-29,79.6
2016-07-30,61.6
2016-07-31,36.8
2016-08-01,35.0
2016-08-02,30.4
2016-08-03,32.2
2016-08-04,28.4
2016-08-05,36.8
2016-08-06,42.2
2016-08-07,33.2
2016-08-08,41.6
2016-08-09,52.0
2016-08-10,41.2
2016-08-11,64.8
2016-08-12,49.6
2016-08-13,65.0
2016-08-14,39.6
2016-08-15,45.2
2016-08-16,42.0
2016-08-17,27.8
2016-08-18,44.2
2016-08-19,53.6
2016-08-20,43.0
2016-08-21,37.8
2016-08-22,25.8
2016-08-23,44.6
2016-08-24,77.6
2016-08-25,47.2
2016-08-26,40.4
2016-08-27,38.8
2016-08-28,33.8
2016-08-29,38.4
2016-08-30,31.4
2016-08-31,64.6
2016-09-01,46.6
2016-09-02,24.8
2016-09-03,28.8
2016-09-04,28.0
2016-09-05,26.0
2016-09-06,24.6
2016-09-07,34.0
2016-09-08,54.4
2016-09-09,53.6
2016-09-10,57.2
2016-09-11,28.2
2016-09-12,26.8
